Cod.Departamento,Departamento,Cod.Municipio,Municipio,Agente,Bandera,Direccion,Producto,Precio,Estado,Registro,Periodo,Mes,Direccion_2,Full_Address,Coords
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIOS SANTANDER 19,ESSO,CALLE 20 SUR No. 29C-83,GASOLINA EXTRA OXIGENADA,12060,1,05/02/2018 12:00:00 AM,2018,5,CALLE 20 SUR No. 29C-83,"CALLE 20 SUR No. 29C-83, Bogota d.c., Colombia","(""4° 36' 19.23336'' N"", ""74° 7' 4.70064'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIOS SANTANDER 19,ESSO,CALLE 20 SUR No. 29C-83,BIODIESEL EXTRA,12060,1,05/02/2018 12:00:00 AM,2018,5,CALLE 20 SUR No. 29C-83,"CALLE 20 SUR No. 29C-83, Bogota d.c., Colombia","(""4° 36' 19.23336'' N"", ""74° 7' 4.70064'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIOS SANTANDER 19,ESSO,CALLE 20 SUR No. 29C-83,BIOACEM AL 9%,8390,1,05/02/2018 12:00:00 AM,2018,5,CALLE 20 SUR No. 29C-83,"CALLE 20 SUR No. 29C-83, Bogota d.c., Colombia","(""4° 36' 19.23336'' N"", ""74° 7' 4.70064'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,GASOLINA CORRIENTE,8567,1,05/03/2018 12:00:00 AM,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,GASOLINA EXTRA,11250,1,05/03/2018 12:00:00 AM,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,GASOLINA EXTRA OXIGENADA,11250,1,05/03/2018 12:00:00 AM,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,BIODIESEL EXTRA,7987,1,05/03/2018 12:00:00 AM,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS LOS ANGELES,PETROBRAS,AK 72 NO. 39 H-12 SUR,GASOLINA CORRIENTE OXIGENADA,8567,1,05/03/2018 12:00:00 AM,2018,5,AK 72 NO. 39 H-12 SUR,"AK 72 NO. 39 H-12 SUR, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL NORTE,TERPEL,CARRERA 64C No. 103 GG- 75,GASOLINA CORRIENTE OXIGENADA,8620,1,05/02/2018 12:00:00 AM,2018,5,CARRERA 64C No. 103 GG- 75,"CARRERA 64C No. 103 GG- 75, Medellin, Colombia","(""6° 15' 6.62400'' N"", ""75° 33' 48.92400'' W"")"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL NORTE,TERPEL,CARRERA 64C No. 103 GG- 75,GASOLINA EXTRA OXIGENADA,11070,1,05/02/2018 12:00:00 AM,2018,5,CARRERA 64C No. 103 GG- 75,"CARRERA 64C No. 103 GG- 75, Medellin, Colombia","(""6° 15' 6.62400'' N"", ""75° 33' 48.92400'' W"")"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL NORTE,TERPEL,CARRERA 64C No. 103 GG- 75,BIODIESEL EXTRA,8390,1,05/02/2018 12:00:00 AM,2018,5,CARRERA 64C No. 103 GG- 75,"CARRERA 64C No. 103 GG- 75, Medellin, Colombia","(""6° 15' 6.62400'' N"", ""75° 33' 48.92400'' W"")"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO ESSO LOS ALAMOS NO 9,MOBIL,Carrera 52 No. 65 - 07,BIODIESEL EXTRA,9210,1,05/02/2018 12:00:00 AM,2018,5,Carrera 52 No. 65 - 07,"Carrera 52 No. 65 - 07, Medellin, Colombia","(""6° 17' 42.09972'' N"", ""75° 33' 35.98164'' W"")"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO ESSO LOS ALAMOS NO 9,MOBIL,Carrera 52 No. 65 - 07,GASOLINA CORRIENTE OXIGENADA,9100,1,05/02/2018 12:00:00 AM,2018,5,Carrera 52 No. 65 - 07,"Carrera 52 No. 65 - 07, Medellin, Colombia","(""6° 17' 42.09972'' N"", ""75° 33' 35.98164'' W"")"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO ESSO LOS ALAMOS NO 9,MOBIL,Carrera 52 No. 65 - 07,GASOLINA EXTRA OXIGENADA,11800,1,05/02/2018 12:00:00 AM,2018,5,Carrera 52 No. 65 - 07,"Carrera 52 No. 65 - 07, Medellin, Colombia","(""6° 17' 42.09972'' N"", ""75° 33' 35.98164'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL ENGATIVA,TERPEL,CALLE 62 No. 97 - 10,BIOACEM AL 9%,8220,1,05/02/2018 12:00:00 AM,2018,5,CALLE 62 No. 97 - 10,"CALLE 62 No. 97 - 10, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL ENGATIVA,TERPEL,CALLE 62 No. 97 - 10,GASOLINA CORRIENTE OXIGENADA,8840,1,05/02/2018 12:00:00 AM,2018,5,CALLE 62 No. 97 - 10,"CALLE 62 No. 97 - 10, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL ENGATIVA,TERPEL,CALLE 62 No. 97 - 10,GASOLINA EXTRA OXIGENADA,11310,1,05/02/2018 12:00:00 AM,2018,5,CALLE 62 No. 97 - 10,"CALLE 62 No. 97 - 10, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS TERPEL ENGATIVA,TERPEL,CALLE 62 No. 97 - 10,BIODIESEL EXTRA,8220,1,05/02/2018 12:00:00 AM,2018,5,CALLE 62 No. 97 - 10,"CALLE 62 No. 97 - 10, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SANTANDER,TERPEL,CARRERA 27 No. 31C-63 SUR,BIODIESEL EXTRA,7986,1,05/01/2018 12:00:00 AM,2018,5,CARRERA 27 No. 31C-63 SUR,"CARRERA 27 No. 31C-63 SUR, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SANTANDER,TERPEL,CARRERA 27 No. 31C-63 SUR,BIOACEM AL 9%,7986,1,05/01/2018 12:00:00 AM,2018,5,CARRERA 27 No. 31C-63 SUR,"CARRERA 27 No. 31C-63 SUR, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ SANTANDER,TERPEL,CARRERA 27 No. 31C-63 SUR,GASOLINA CORRIENTE OXIGENADA,8550,1,05/01/2018 12:00:00 AM,2018,5,CARRERA 27 No. 31C-63 SUR,"CARRERA 27 No. 31C-63 SUR, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIÓN DE SERVICIO BRIO CANEY,BIOMAX,AVENIDA CALLE 17 No. 126-23,BIODIESEL EXTRA,8390,1,05/04/2018 12:00:00 AM,2018,5,AVENIDA CALLE 17 No. 126-23,"AVENIDA CALLE 17 No. 126-23, Bogota d.c., Colombia","(""4° 40' 26.73804'' N"", ""74° 2' 53.81556'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIÓN DE SERVICIO BRIO CANEY,BIOMAX,AVENIDA CALLE 17 No. 126-23,GASOLINA CORRIENTE OXIGENADA,9098,1,05/04/2018 12:00:00 AM,2018,5,AVENIDA CALLE 17 No. 126-23,"AVENIDA CALLE 17 No. 126-23, Bogota d.c., Colombia","(""4° 40' 26.73804'' N"", ""74° 2' 53.81556'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACIÓN DE SERVICIO BRIO CANEY,BIOMAX,AVENIDA CALLE 17 No. 126-23,BIOACEM AL 9%,8390,1,05/04/2018 12:00:00 AM,2018,5,AVENIDA CALLE 17 No. 126-23,"AVENIDA CALLE 17 No. 126-23, Bogota d.c., Colombia","(""4° 40' 26.73804'' N"", ""74° 2' 53.81556'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO HERGOS GASOLINA,TERPEL,CALLE 73 NO 86 -08,BIOACEM AL 9%,8259,1,05/04/2018 12:00:00 AM,2018,5,CALLE 73 NO 86 -08,"CALLE 73 NO 86 -08, Bogota d.c., Colombia","(""4° 36' 19.23336'' N"", ""74° 7' 4.70064'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO HERGOS GASOLINA,TERPEL,CALLE 73 NO 86 -08,GASOLINA CORRIENTE OXIGENADA,8959,1,05/04/2018 12:00:00 AM,2018,5,CALLE 73 NO 86 -08,"CALLE 73 NO 86 -08, Bogota d.c., Colombia","(""4° 36' 19.23336'' N"", ""74° 7' 4.70064'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO HERGOS GASOLINA,TERPEL,CALLE 73 NO 86 -08,BIODIESEL EXTRA,8259,1,05/04/2018 12:00:00 AM,2018,5,CALLE 73 NO 86 -08,"CALLE 73 NO 86 -08, Bogota d.c., Colombia","(""4° 36' 19.23336'' N"", ""74° 7' 4.70064'' W"")"
